 	Syn_Sim	Syn_real	LR_Sim	LR_real
17.71	0.03028936	0.02988543	0.027914674	0.025870305
17.74	0.030220029	0.02975999	0.027850779	0.025741932
17.77	0.030150928	0.029636588	0.027787095	0.025615625
17.8	0.030082082	0.029515456	0.027723646	0.025491649
17.82	0.030036337	0.029396825	0.027681488	0.025370267
17.85	0.029967969	0.029280928	0.02761848	0.025251743
17.88	0.029899919	0.029167994	0.027555765	0.025136341
17.91	0.029831988	0.029058255	0.02749316	0.025024324
17.94	0.029763772	0.028951944	0.027430293	0.024915958
17.96	0.029718146	0.02884929	0.027388243	0.024811505
17.99	0.029649503	0.028750526	0.027324982	0.024711229
18.02	0.029580642	0.028655883	0.02726152	0.024615394
18.05	0.029511592	0.028565591	0.027197883	0.024524265
18.08	0.02944238	0.028479883	0.027134098	0.024438105
18.1	0.029396165	0.028398752	0.027091505	0.024357159
18.13	0.029326749	0.028320344	0.027027532	0.024279736
18.16	0.02925725	0.028244153	0.026963481	0.024204566
18.19	0.029187695	0.028170104	0.02689938	0.02413157
18.22	0.029118113	0.028098117	0.026835253	0.024060675
18.24	0.029071725	0.028028117	0.026792502	0.023991803
18.27	0.029002163	0.027960025	0.026728394	0.023924878
18.3	0.028932651	0.027893764	0.026664331	0.023859824
18.33	0.028863218	0.027829255	0.026600341	0.023796566
18.35	0.028793892	0.027766423	0.026536451	0.023735026
18.38	0.028724702	0.027705189	0.026472685	0.02367513
18.41	0.028655677	0.027645475	0.026409072	0.023616801
18.44	0.028586846	0.027587204	0.026345637	0.023559963
18.47	0.028518237	0.027530299	0.026282408	0.02350454
18.49	0.028472636	0.027474683	0.026240381	0.023450456
18.52	0.028404462	0.027420276	0.026177552	0.023397635
18.55	0.028336587	0.027367003	0.026114998	0.023346
18.58	0.028269039	0.027314785	0.026052746	0.023295476
18.61	0.028201848	0.027263545	0.025990823	0.023245987
18.63	0.028157267	0.027213206	0.025949737	0.023197457
18.66	0.028090734	0.027163689	0.02588842	0.023149809
18.69	0.028024634	0.027114918	0.025827503	0.023102967
18.72	0.027958996	0.027066815	0.025767011	0.023056856
18.75	0.027893849	0.027019302	0.025706971	0.023011399
18.77	0.027850704	0.026972301	0.025667209	0.022966521
18.8	0.027786438	0.026925736	0.025607981	0.022922145
18.83	0.02772274	0.026879529	0.025549277	0.022878195
18.86	0.027659574	0.026833602	0.025491063	0.022834595
18.88	0.027617549	0.026787878	0.025452333	0.022791269
18.91	0.02755457	0.026742279	0.025394292	0.022748142
18.94	0.027491667	0.026696727	0.02533632	0.022705136
18.97	0.027428846	0.026651146	0.025278425	0.022662176
19	0.027366114	0.026605457	0.025220611	0.022619186
19.02	0.027324344	0.026559584	0.025182116	0.02257609
19.05	0.027261773	0.026513447	0.02512445	0.022532811
19.08	0.027199307	0.026466971	0.025066881	0.022489275
19.11	0.027136951	0.026420078	0.025009414	0.022445404
19.14	0.027074713	0.026372689	0.024952056	0.022401122
19.16	0.027033289	0.026324728	0.024913879	0.022356354
19.19	0.02697126	0.026276116	0.024856714	0.022311024
19.22	0.026909366	0.026226778	0.024799671	0.022265054
19.25	0.026847611	0.026176633	0.024742758	0.022218371
19.28	0.026786002	0.026125607	0.02468598	0.022170896
19.3	0.026745014	0.02607362	0.024648205	0.022122555
19.33	0.026683663	0.02602121	0.024591664	0.022073275
19.36	0.026622476	0.025970393	0.024535273	0.022024473
19.39	0.026561457	0.025921266	0.024479038	0.021977279
19.41	0.026520874	0.025873756	0.024441638	0.021931623
19.44	0.026460151	0.025827789	0.024385675	0.021887436
19.47	0.026399613	0.025783291	0.024329884	0.021844648
19.5	0.026339268	0.025740187	0.024274269	0.021803188
19.53	0.02627912	0.025698404	0.024218837	0.021762987
19.55	0.026239134	0.025657866	0.024181986	0.021723975
19.58	0.026179331	0.025618501	0.024126871	0.021686082
19.61	0.026119741	0.025580234	0.024071954	0.021649238
19.64	0.026060373	0.025542991	0.02401724	0.021613373
19.67	0.026001232	0.025506698	0.023962735	0.021578417
19.69	0.025961933	0.02547128	0.023926518	0.021544301
19.72	0.025903184	0.025436664	0.023872374	0.021510954
19.75	0.025844678	0.025402775	0.023818456	0.021478306
19.78	0.025786423	0.02536954	0.023764767	0.021446288
19.81	0.025728423	0.025336884	0.023711315	0.02141483
19.83	0.025689902	0.025304734	0.023675814	0.021383861
19.86	0.025632351	0.025273014	0.023622775	0.021353312
19.89	0.025575093	0.025241651	0.023570006	0.021323113
19.92	0.025518121	0.025210571	0.0235175	0.021293194
19.94	0.025480296	0.0251797	0.023482641	0.021263485
19.97	0.025423788	0.025148963	0.023430563	0.021233916
20	0.025367549	0.025118287	0.023378733	0.021204417
